date,Seizures,Sleeping Pills,Chocolate,Mood Swings,Anxiety,Depression,Sad songs,Lonely,Heartbreak
2016-08-01,0,0,33,0.0,16,26,0,31,85
2016-08-02,0,0,77,0.0,64,39,0,31,0
2016-08-03,0,38,56,0.0,48,89,78,41,84
2016-08-04,0,0,29,0.0,16,64,0,41,0
2016-08-05,0,89,54,0.0,55,45,90,24,0
2016-08-06,0,0,72,0.0,41,0,100,13,0
2016-08-07,0,0,84,0.0,76,31,93,24,0
2016-08-08,47,0,60,0.0,49,39,0,21,0
2016-08-09,0,0,39,0.0,33,26,0,10,0
2016-08-10,49,0,59,0.0,34,41,0,11,0
2016-08-11,50,0,45,0.0,86,42,0,100,91
2016-08-12,55,0,35,0.0,57,92,0,37,0
2016-08-13,60,100,88,0.0,0,66,0,26,0
2016-08-14,0,0,88,0.0,38,15,93,24,100
2016-08-15,0,0,47,0.0,68,41,0,77,0
2016-08-16,100,42,58,0.0,35,14,0,33,0
2016-08-17,0,43,49,0.0,0,100,0,11,0
2016-08-18,52,0,63,0.0,36,44,0,0,0
2016-08-19,0,0,52,0.0,100,48,0,26,0
2016-08-20,0,0,80,0.0,22,35,0,14,0
2016-08-21,56,47,100,0.0,39,47,94,0,0
2016-08-22,49,0,50,0.0,0,55,0,22,0
2016-08-23,0,0,62,0.0,67,27,0,22,0
2016-08-24,47,0,60,0.0,16,91,0,10,0
2016-08-25,0,0,60,0.0,49,39,79,42,0
2016-08-26,0,45,72,0.0,37,30,0,47,0
2016-08-27,0,50,49,0.0,20,49,100,26,0
2016-08-28,0,0,59,0.0,56,90,0,36,99
2016-08-29,0,0,59,0.0,48,77,78,62,84
2016-08-30,0,0,96,100.0,67,67,0,32,0
2016-08-31,0,0,40,0.0,50,54,0,32,0
2016-09-01,0,0,93,0.0,13,38,0,54,0
2016-09-02,0,0,91,0.0,29,100,0,92,0
2016-09-03,0,100,83,0.0,32,63,0,0,0
2016-09-04,0,0,63,0.0,81,39,0,42,0
2016-09-05,75,0,58,0.0,37,97,30,26,0
2016-09-06,0,0,55,0.0,0,86,0,53,0
2016-09-07,0,0,55,0.0,25,36,30,26,84
2016-09-08,0,0,60,0.0,51,38,0,13,86
2016-09-09,0,0,58,0.0,30,15,0,47,0
2016-09-10,100,0,99,0.0,33,65,0,35,0
2016-09-11,0,0,57,0.0,59,86,0,0,99
2016-09-12,0,0,46,100.0,77,88,0,13,0
2016-09-13,75,0,65,0.0,100,61,0,26,0
2016-09-14,0,0,62,0.0,64,87,0,40,0
2016-09-15,0,0,81,0.0,50,12,0,39,0
2016-09-16,0,0,57,0.0,0,41,100,88,0
2016-09-17,90,0,100,0.0,59,58,36,16,100
2016-09-18,0,0,63,0.0,81,53,0,28,91
2016-09-19,0,0,51,0.0,37,61,0,39,0
2016-09-20,0,0,49,0.0,50,73,60,66,0
2016-09-21,0,0,46,0.0,25,49,30,13,85
2016-09-22,78,0,57,0.0,77,76,0,41,0
2016-09-23,87,0,79,0.0,58,28,35,46,0
2016-09-24,91,0,54,0.0,30,44,0,16,0
2016-09-25,82,0,92,0.0,14,66,0,100,0
2016-09-26,0,79,56,0.0,38,37,0,53,86
2016-09-27,0,0,67,0.0,52,51,0,55,0
2016-09-28,0,82,75,0.0,53,52,0,28,0
2016-09-29,84,0,65,0.0,28,41,33,29,94
2016-09-30,0,0,54,0.0,30,87,0,16,0
2016-10-01,0,0,63,0.0,75,58,0,37,0
2016-10-02,0,0,43,100.0,84,43,98,34,0
2016-10-03,79,0,58,0.0,39,30,0,48,0
2016-10-04,0,0,73,0.0,79,10,0,16,0
2016-10-05,0,0,77,0.0,65,61,0,32,0
2016-10-06,0,83,76,0.0,39,20,0,32,83
2016-10-07,90,0,74,0.0,58,46,0,36,0
2016-10-08,0,0,51,0.0,61,48,0,56,0
2016-10-09,0,0,52,0.0,94,73,0,33,0
2016-10-10,0,81,66,0.0,50,39,0,31,0
2016-10-11,77,0,46,0.0,38,39,88,31,0
2016-10-12,0,0,56,0.0,100,39,88,15,81
2016-10-13,0,0,83,0.0,65,40,0,0,0
2016-10-14,88,0,76,0.0,43,45,100,18,0
2016-10-15,0,0,95,0.0,15,60,0,38,0
2016-10-16,86,0,51,0.0,97,11,0,34,90
2016-10-17,75,0,34,0.0,25,29,0,30,0
