date,Seizures,Sleeping Pills,Chocolate,Mood Swings,Anxiety,Depression,Sad songs,Lonely,Heartbreak
2020-08-01,38,0,73,0,37,50,0,37,0
2020-08-02,100,0,100,100,97,22,94,99,100
2020-08-03,0,0,51,0,43,59,84,59,45
2020-08-04,91,50,50,0,44,60,0,60,0
2020-08-05,0,0,48,0,59,100,0,45,0
2020-08-06,30,100,50,0,73,40,0,75,45
2020-08-07,0,56,51,0,33,45,0,34,51
2020-08-08,38,0,65,0,55,75,0,56,0
2020-08-09,34,0,46,0,66,34,0,100,0
2020-08-10,30,0,54,90,95,90,85,45,0
2020-08-11,27,0,41,0,13,54,0,0,41
2020-08-12,0,0,57,88,36,19,0,29,0
2020-08-13,0,0,61,87,64,19,82,57,87
2020-08-14,0,0,56,97,78,43,0,80,48
2020-08-15,0,0,61,0,43,58,0,17,53
2020-08-16,63,0,76,0,100,63,0,16,95
2020-08-17,0,48,67,0,42,29,0,43,43
2020-08-18,57,94,45,0,62,47,0,14,0
2020-08-19,28,0,72,84,20,56,79,55,0
2020-08-20,29,0,47,86,91,86,0,28,0
2020-08-21,0,0,55,0,70,42,0,47,0
2020-08-22,35,58,82,0,34,46,0,35,0
2020-08-23,30,0,89,91,66,60,0,75,0
2020-08-24,27,0,67,0,53,45,77,94,41
2020-08-25,28,0,49,85,27,65,0,69,42
2020-08-26,29,48,61,87,42,38,0,57,0
2020-08-27,29,0,45,0,77,38,0,57,43
2020-08-28,34,0,71,0,25,45,95,83,0
2020-08-29,0,0,72,0,86,35,100,35,0
2020-08-30,32,53,60,96,93,85,0,32,0
2020-08-31,0,48,58,0,63,57,81,57,0
2020-09-01,0,0,77,0,47,56,0,19,0
2020-09-02,100,0,62,0,49,25,33,20,0
2020-09-03,51,50,63,0,86,60,0,20,0
2020-09-04,0,0,100,50,64,38,38,45,0
2020-09-05,0,0,99,0,34,60,40,95,0
2020-09-06,0,53,86,0,68,36,35,21,0
2020-09-07,100,49,54,43,63,75,33,59,0
2020-09-08,0,0,71,44,57,59,0,20,39
2020-09-09,0,0,52,0,85,34,33,60,39
2020-09-10,51,0,73,89,100,51,0,20,0
2020-09-11,0,0,84,0,41,58,77,46,0
2020-09-12,65,0,84,57,64,33,0,52,100
2020-09-13,0,0,82,48,54,65,0,65,0
2020-09-14,0,0,63,43,48,41,0,0,0
2020-09-15,0,0,56,0,42,100,33,39,0
2020-09-16,0,0,60,44,43,93,0,60,0
2020-09-17,50,100,73,0,36,85,100,60,39
2020-09-18,0,0,74,0,56,48,0,68,0
2020-09-19,0,0,66,0,45,64,0,50,0
2020-09-20,0,0,71,0,48,48,0,0,0
2020-09-21,0,0,55,0,65,51,0,40,0
2020-09-22,50,0,44,0,50,34,0,100,0
2020-09-23,0,50,60,44,57,0,33,20,39
2020-09-24,0,0,32,0,36,95,68,0,0
2020-09-25,63,0,55,55,71,84,41,74,0
2020-09-26,65,0,77,0,36,22,0,77,0
2020-09-27,0,0,80,100,48,29,0,91,0
2020-09-28,55,0,79,0,46,9,0,43,0
2020-09-29,0,0,79,0,80,67,0,67,0
2020-09-30,59,58,64,0,75,30,0,23,90
2020-10-01,33,0,83,0,41,30,54,81,0
2020-10-02,0,0,55,0,44,21,0,0,0
2020-10-03,0,0,75,56,84,34,61,46,0
2020-10-04,0,0,77,0,59,40,54,41,0
2020-10-05,0,0,36,46,77,28,100,56,0
2020-10-06,61,0,45,46,46,56,0,57,0
2020-10-07,31,0,69,0,39,57,0,38,88
2020-10-08,0,0,70,0,63,38,0,19,0
2020-10-09,37,0,83,0,75,34,0,46,0
2020-10-10,39,0,79,0,59,36,0,24,0
2020-10-11,0,96,83,0,60,72,0,0,96
2020-10-12,0,0,53,0,79,75,0,58,0
2020-10-13,33,93,70,50,42,100,0,20,0
2020-10-14,33,0,70,50,59,20,0,0,0
2020-10-15,0,94,64,100,42,40,0,41,0
2020-10-16,0,0,60,0,48,34,0,70,0
2020-10-17,36,0,72,54,45,54,59,22,0
2020-10-18,0,0,66,0,35,21,0,43,0
2020-10-19,0,0,80,0,67,50,0,61,0
2020-10-20,100,0,50,50,34,91,0,21,0
2020-10-21,0,97,65,0,69,31,0,42,0
2020-10-22,0,0,62,0,43,42,0,63,0
2020-10-23,0,0,69,0,38,35,0,70,54
2020-10-24,0,0,86,0,72,0,0,50,0
2020-10-25,0,0,68,0,38,69,0,23,53
2020-10-26,0,0,62,0,70,31,57,21,0
2020-10-27,32,0,58,49,82,79,0,100,46
2020-10-28,0,0,83,0,58,50,54,61,0
2020-10-29,33,0,73,0,100,0,0,41,47
2020-10-30,35,100,90,0,63,32,58,0,100
2020-10-31,38,0,100,0,19,34,0,46,0
2020-11-01,0,0,82,0,59,33,93,32,0
2020-11-02,0,87,47,0,47,100,0,57,0
2020-11-03,99,0,50,0,33,49,0,14,48
2020-11-04,42,0,39,42,28,66,0,24,0
2020-11-05,0,72,56,0,39,33,0,12,40
2020-11-06,0,0,73,0,33,49,0,0,0
2020-11-07,52,0,63,0,35,10,88,59,0
2020-11-08,0,0,59,52,76,10,0,44,0
2020-11-09,49,0,62,0,39,10,0,42,47
2020-11-10,50,0,98,0,34,70,0,14,0
2020-11-11,0,0,42,0,21,31,0,0,100
2020-11-12,54,93,50,0,43,43,0,0,0
2020-11-13,0,100,58,0,85,46,0,82,56
2020-11-14,0,0,88,0,33,12,0,53,0
